0 [D loss: 3.215621, acc.: 54.69%, op_acc: 7.81%] [G loss: 2.963927]
1 [D loss: 3.549479, acc.: 50.00%, op_acc: 7.81%] [G loss: 2.924091]
2 [D loss: 3.387442, acc.: 51.56%, op_acc: 12.50%] [G loss: 2.945470]
3 [D loss: 3.149511, acc.: 56.25%, op_acc: 12.50%] [G loss: 2.896331]
4 [D loss: 3.233798, acc.: 68.75%, op_acc: 9.38%] [G loss: 2.929676]
5 [D loss: 3.042475, acc.: 78.12%, op_acc: 9.38%] [G loss: 2.763590]
6 [D loss: 3.378049, acc.: 75.00%, op_acc: 6.25%] [G loss: 2.874063]
7 [D loss: 3.137830, acc.: 70.31%, op_acc: 6.25%] [G loss: 2.806777]
8 [D loss: 2.944769, acc.: 90.62%, op_acc: 12.50%] [G loss: 2.920139]
9 [D loss: 2.852483, acc.: 84.38%, op_acc: 12.50%] [G loss: 2.946783]
10 [D loss: 3.052147, acc.: 92.19%, op_acc: 6.25%] [G loss: 2.861739]
11 [D loss: 3.024578, acc.: 92.19%, op_acc: 10.94%] [G loss: 2.822320]
12 [D loss: 2.804680, acc.: 90.62%, op_acc: 12.50%] [G loss: 2.800853]
13 [D loss: 3.053265, acc.: 93.75%, op_acc: 9.38%] [G loss: 2.791391]
14 [D loss: 2.843934, acc.: 96.88%, op_acc: 10.94%] [G loss: 2.966118]
15 [D loss: 2.822479, acc.: 92.19%, op_acc: 9.38%] [G loss: 2.834898]
16 [D loss: 2.783603, acc.: 96.88%, op_acc: 9.38%] [G loss: 2.679094]
17 [D loss: 2.823321, acc.: 98.44%, op_acc: 6.25%] [G loss: 2.677828]
18 [D loss: 2.762467, acc.: 98.44%, op_acc: 9.38%] [G loss: 2.696365]
19 [D loss: 2.625891, acc.: 98.44%, op_acc: 15.62%] [G loss: 2.731565]
20 [D loss: 2.678901, acc.: 93.75%, op_acc: 12.50%] [G loss: 2.782346]
21 [D loss: 2.843070, acc.: 92.19%, op_acc: 10.94%] [G loss: 2.733456]
22 [D loss: 2.991960, acc.: 78.12%, op_acc: 9.38%] [G loss: 2.653161]
23 [D loss: 2.888004, acc.: 76.56%, op_acc: 9.38%] [G loss: 2.539839]
24 [D loss: 3.067007, acc.: 78.12%, op_acc: 9.38%] [G loss: 3.047781]
25 [D loss: 2.950468, acc.: 78.12%, op_acc: 17.19%] [G loss: 3.143744]
26 [D loss: 2.912179, acc.: 79.69%, op_acc: 14.06%] [G loss: 3.089105]
27 [D loss: 3.017837, acc.: 73.44%, op_acc: 4.69%] [G loss: 3.425067]
28 [D loss: 2.876210, acc.: 75.00%, op_acc: 9.38%] [G loss: 3.188036]
29 [D loss: 2.818036, acc.: 79.69%, op_acc: 17.19%] [G loss: 3.713482]
30 [D loss: 2.955298, acc.: 81.25%, op_acc: 12.50%] [G loss: 3.519955]
31 [D loss: 2.957194, acc.: 81.25%, op_acc: 10.94%] [G loss: 3.415881]
32 [D loss: 2.986396, acc.: 68.75%, op_acc: 23.44%] [G loss: 3.557238]
33 [D loss: 2.914905, acc.: 71.88%, op_acc: 18.75%] [G loss: 3.314748]
34 [D loss: 2.616505, acc.: 89.06%, op_acc: 23.44%] [G loss: 3.834768]
35 [D loss: 2.868162, acc.: 76.56%, op_acc: 14.06%] [G loss: 3.429317]
36 [D loss: 2.880762, acc.: 76.56%, op_acc: 17.19%] [G loss: 3.377647]
37 [D loss: 2.796783, acc.: 84.38%, op_acc: 12.50%] [G loss: 3.631122]
38 [D loss: 2.760633, acc.: 79.69%, op_acc: 20.31%] [G loss: 3.524432]
39 [D loss: 2.895725, acc.: 82.81%, op_acc: 14.06%] [G loss: 3.439162]
40 [D loss: 3.016130, acc.: 73.44%, op_acc: 12.50%] [G loss: 3.510651]
41 [D loss: 2.744026, acc.: 76.56%, op_acc: 18.75%] [G loss: 3.359319]
42 [D loss: 2.918796, acc.: 75.00%, op_acc: 6.25%] [G loss: 3.388849]
43 [D loss: 3.255455, acc.: 68.75%, op_acc: 14.06%] [G loss: 3.531768]
44 [D loss: 2.958076, acc.: 71.88%, op_acc: 14.06%] [G loss: 3.393262]
45 [D loss: 2.906683, acc.: 75.00%, op_acc: 15.62%] [G loss: 3.514181]
46 [D loss: 2.815087, acc.: 68.75%, op_acc: 21.88%] [G loss: 3.334426]
47 [D loss: 3.092012, acc.: 76.56%, op_acc: 7.81%] [G loss: 3.632784]
48 [D loss: 3.094788, acc.: 65.62%, op_acc: 12.50%] [G loss: 3.828412]
49 [D loss: 3.006872, acc.: 81.25%, op_acc: 17.19%] [G loss: 3.488419]
50 [D loss: 2.863366, acc.: 73.44%, op_acc: 23.44%] [G loss: 3.692158]
51 [D loss: 2.866796, acc.: 64.06%, op_acc: 18.75%] [G loss: 3.382760]
52 [D loss: 2.957026, acc.: 65.62%, op_acc: 10.94%] [G loss: 3.621770]
53 [D loss: 2.809463, acc.: 71.88%, op_acc: 15.62%] [G loss: 3.353639]
54 [D loss: 2.890541, acc.: 68.75%, op_acc: 17.19%] [G loss: 3.446911]
55 [D loss: 3.110987, acc.: 75.00%, op_acc: 18.75%] [G loss: 3.683594]
56 [D loss: 2.956110, acc.: 68.75%, op_acc: 21.88%] [G loss: 3.527732]
57 [D loss: 3.024728, acc.: 67.19%, op_acc: 21.88%] [G loss: 2.974687]
58 [D loss: 2.895168, acc.: 67.19%, op_acc: 17.19%] [G loss: 3.403079]
59 [D loss: 2.763678, acc.: 71.88%, op_acc: 28.12%] [G loss: 3.300060]
60 [D loss: 2.954879, acc.: 75.00%, op_acc: 15.62%] [G loss: 3.482159]
61 [D loss: 2.964619, acc.: 71.88%, op_acc: 10.94%] [G loss: 3.687916]
62 [D loss: 3.193069, acc.: 68.75%, op_acc: 15.62%] [G loss: 3.462266]
63 [D loss: 2.751235, acc.: 71.88%, op_acc: 25.00%] [G loss: 3.526160]
64 [D loss: 2.876221, acc.: 75.00%, op_acc: 18.75%] [G loss: 3.551970]
65 [D loss: 2.905505, acc.: 65.62%, op_acc: 21.88%] [G loss: 3.501165]
66 [D loss: 3.041409, acc.: 70.31%, op_acc: 20.31%] [G loss: 3.675178]
67 [D loss: 2.937400, acc.: 71.88%, op_acc: 15.62%] [G loss: 3.292920]
68 [D loss: 3.017578, acc.: 70.31%, op_acc: 15.62%] [G loss: 3.390359]
69 [D loss: 2.675057, acc.: 67.19%, op_acc: 20.31%] [G loss: 3.490777]
70 [D loss: 2.809650, acc.: 67.19%, op_acc: 17.19%] [G loss: 3.359302]
71 [D loss: 2.824554, acc.: 79.69%, op_acc: 18.75%] [G loss: 3.257951]
72 [D loss: 2.988571, acc.: 68.75%, op_acc: 12.50%] [G loss: 3.465132]
73 [D loss: 3.000662, acc.: 67.19%, op_acc: 18.75%] [G loss: 3.467562]
74 [D loss: 3.029271, acc.: 62.50%, op_acc: 20.31%] [G loss: 3.700269]
75 [D loss: 2.947884, acc.: 64.06%, op_acc: 23.44%] [G loss: 3.541167]
76 [D loss: 2.790288, acc.: 76.56%, op_acc: 23.44%] [G loss: 3.492268]
77 [D loss: 2.837426, acc.: 65.62%, op_acc: 29.69%] [G loss: 3.292851]
78 [D loss: 2.903685, acc.: 78.12%, op_acc: 26.56%] [G loss: 3.274998]
79 [D loss: 2.841497, acc.: 67.19%, op_acc: 26.56%] [G loss: 3.451272]
